"Match_date","Match_number","Match_venue","Match_time","Toss_winner","Toss_decision","Team1","Team1_score","Team2","Team2_score","Winning_team","Winning_margin"
"Apr 7, 2018","1st match","Wankhede Stadium, Mumbai","night","Chennai Super Kings","field","Mumbai Indians","165/4","Chennai Super Kings","169/9","Chennai Super Kings","1 wicket (with 1 ball remaining)"
"Apr 8, 2018","2nd match","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","day/night","Kings XI Punjab","field","Delhi Daredevils","166/7","Kings XI Punjab","167/4","Kings XI Punjab","6 wickets (with 7 balls remaining)"
"Apr 8, 2018","3rd match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","field","RCB","176/7","Kolkata Knight Riders","177/6","Kolkata Knight Riders","4 wickets (with 7 balls remaining)"
"Apr 9, 2018","4th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Sunrisers Hyderabad","field","Rajasthan Royals","125/9","Sunrisers Hyderabad","127/1","Sunrisers Hyderabad","9 wickets (with 25 balls remaining)"
"Apr 10, 2018","5th match","MA Chidambaram Stadium, Chepauk, Chennai","night","Chennai Super Kings","field","Kolkata Knight Riders","202/6","Chennai Super Kings","205/5","Chennai Super Kings","5 wickets (with 1 ball remaining)"
"Apr 11, 2018","6th match","Sawai Mansingh Stadium, Jaipur","night","Delhi Daredevils","field","Rajasthan Royals","153/5","Delhi Daredevils","60/4","Rajasthan Royals","10 runs (D/L method)"
"Apr 12, 2018","7th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Sunrisers Hyderabad","field","Mumbai Indians","147/8","Sunrisers Hyderabad","151/9","Sunrisers Hyderabad","1 wicket (with 0 balls remaining)"
"Apr 13, 2018","8th match","M Chinnaswamy Stadium, Bengaluru","night","Royal Challengers Bangalore","field","Kings XI Punjab","155","RCB","159/6","Royal Challengers Bangalore","4 wickets (with 3 balls remaining)"
"Apr 14, 2018","9th match","Wankhede Stadium, Mumbai","day/night","Delhi Daredevils","field","Mumbai Indians","194/7","Delhi Daredevils","195/3","Delhi Daredevils","7 wickets (with 0 balls remaining)"
"Apr 14, 2018","10th match","Eden Gardens, Kolkata","night","Sunrisers Hyderabad","field","Kolkata Knight Riders","138/8","Sunrisers Hyderabad","139/5","Sunrisers Hyderabad","5 wickets (with 6 balls remaining)"
"Apr 15, 2018","11th match","M Chinnaswamy Stadium, Bengaluru","day/night","Royal Challengers Bangalore","field","Rajasthan Royals","217/4","RCB","198/6","Rajasthan Royals","19 runs"
"Apr 15, 2018","12th match","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","night","Chennai Super Kings","field","Kings XI Punjab","197/7","Chennai Super Kings","193/5","Kings XI Punjab","4 runs"
"Apr 16, 2018","13th match","Eden Gardens, Kolkata","night","Delhi Daredevils","field","Kolkata Knight Riders","200/9","Delhi Daredevils","129","Kolkata Knight Riders","71 runs"
"Apr 17, 2018","14th match","Wankhede Stadium, Mumbai","night","Royal Challengers Bangalore","field","Mumbai Indians","213/6","RCB","167/8","Mumbai Indians","46 runs"
"Apr 18, 2018","15th match","Sawai Mansingh Stadium, Jaipur","night","Kolkata Knight Riders","field","Rajasthan Royals","160/8","Kolkata Knight Riders","163/3","Kolkata Knight Riders","7 wickets (with 7 balls remaining)"
"Apr 19, 2018","16th match","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","night","Kings XI Punjab","bat","Kings XI Punjab","193/3","Sunrisers Hyderabad","178/4","Kings XI Punjab","15 runs"
"Apr 20, 2018","17th match","Maharashtra Cricket Association Stadium, Pune","night","Rajasthan Royals","Rajasthan","Chennai Super Kings","204/5","Rajasthan Royals","140","Chennai Super Kings","64 runs"
"Apr 21, 2018","18th match","Eden Gardens, Kolkata","day/night","Kings XI Punjab","field","Kolkata Knight Riders","191/7","Kings XI Punjab","126/1","Kings XI Punjab","9 wickets (with 11 balls remaining) (D/L method)"
"Apr 21, 2018","19th match","M Chinnaswamy Stadium, Bengaluru","night","Royal Challengers Bangalore","field","Delhi Daredevils","174/5","RCB","176/4","Royal Challengers Bangalore","6 wickets (with 12 balls remaining)"
"Apr 22, 2018","20th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","day/night","Sunrisers Hyderabad","field","Chennai Super Kings","182/3","Sunrisers Hyderabad","178/6","Chennai Super Kings","4 runs"
"Apr 22, 2018","21st match","Sawai Mansingh Stadium, Jaipur","night","Mumbai Indians","bat","Mumbai Indians","167/7","Rajasthan Royals","168/7","Rajasthan Royals","3 wickets (with 2 balls remaining)"
"Apr 23, 2018","22nd match","Feroz Shah Kotla, Delhi","night","Delhi Daredevils","field","Kings XI Punjab","143/8","Delhi Daredevils","139/8","Kings XI Punjab","4 runs"
"Apr 24, 2018","23rd match","Wankhede Stadium, Mumbai","night","Mumbai Indians","field","Sunrisers Hyderabad","118","Mumbai Indians","87","Sunrisers Hyderabad","31 runs"
"Apr 25, 2018","24th match","M Chinnaswamy Stadium, Bengaluru","night","Chennai Super Kings","field","RCB","205/8","Chennai Super Kings","207/5","Chennai Super Kings","5 wickets (with 2 balls remaining)"
"Apr 26, 2018","25th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Kings XI Punjab","field","Sunrisers Hyderabad","132/6","Kings XI Punjab","119","Sunrisers Hyderabad","13 runs"
"Apr 27, 2018","26th match","Feroz Shah Kotla, Delhi","night","Kolkata Knight Riders","field","Delhi Daredevils","219/4","Kolkata Knight Riders","164/9","Delhi Daredevils","55 runs"
"Apr 28, 2018","27th match","Maharashtra Cricket Association Stadium, Pune","night","Mumbai Indians","field","Chennai Super Kings","169/5","Mumbai Indians","170/2","Mumbai Indians","8 wickets (with 2 balls remaining)"
"Apr 29, 2018","28th match","Sawai Mansingh Stadium, Jaipur","day/night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","151/7","Rajasthan Royals","140/6","Sunrisers Hyderabad","11 runs"
"Apr 29, 2018","29th match","M Chinnaswamy Stadium, Bengaluru","night","Kolkata Knight Riders","field","RCB","175/4","Kolkata Knight Riders","176/4","Kolkata Knight Riders","6 wickets (with 5 balls remaining)"
"Apr 30, 2018","30th match","Maharashtra Cricket Association Stadium, Pune","night","Delhi Daredevils","field","Chennai Super Kings","211/4","Delhi Daredevils","198/5","Chennai Super Kings","13 runs"
"May 1, 2018","31st match","M Chinnaswamy Stadium, Bengaluru","night","Mumbai Indians","field","RCB","167/7","Mumbai Indians","153/7","Royal Challengers Bangalore","14 runs"
"May 2, 2018","32nd match","Feroz Shah Kotla, Delhi","night","Rajasthan Royals","field","Delhi Daredevils","196/6","Rajasthan Royals","146/5","Delhi Daredevils","4 runs (D/L method)"
"May 3, 2018","33rd match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","field","Chennai Super Kings","177/5","Kolkata Knight Riders","180/4","Kolkata Knight Riders","6 wickets (with 14 balls remaining)"
"May 4, 2018","34th match","Holkar Cricket Stadium, Indore","night","Mumbai Indians","field","Kings XI Punjab","174/6","Mumbai Indians","176/4","Mumbai Indians","6 wickets (with 6 balls remaining)"
"May 5, 2018","35th match","Maharashtra Cricket Association Stadium, Pune","day/night","Chennai Super Kings","field","RCB","127/9","Chennai Super Kings","128/4","Chennai Super Kings","6 wickets (with 12 balls remaining)"
"May 5, 2018","36th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Delhi Daredevils","bat","Delhi Daredevils","163/5","Sunrisers Hyderabad","164/3","Sunrisers Hyderabad","7 wickets (with 1 ball remaining)"
"May 6, 2018","37th match","Wankhede Stadium, Mumbai","day/night","Kolkata Knight Riders","field","Mumbai Indians","181/4","Kolkata Knight Riders","168/6","Mumbai Indians","13 runs"
"May 6, 2018","38th match","Holkar Cricket Stadium, Indore","night","Kings XI Punjab","field","Rajasthan Royals","152/9","Kings XI Punjab","155/4","Kings XI Punjab","6 wickets (with 8 balls remaining)"
"May 7, 2018","39th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Royal Challengers Bangalore","field","Sunrisers Hyderabad","146","RCB","141/6","Sunrisers Hyderabad","5 runs"
"May 8, 2018","40th match","Sawai Mansingh Stadium, Jaipur","night","Rajasthan Royals","bat","Rajasthan Royals","158/8","Kings XI Punjab","143/7","Rajasthan Royals","15 runs"
"May 9, 2018","41st match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","field","Mumbai Indians","210/6","Kolkata Knight Riders","108","Mumbai Indians","102 runs"
"May 10, 2018","42nd match","Feroz Shah Kotla, Delhi","night","Delhi Daredevils","bat","Delhi Daredevils","187/5","Sunrisers Hyderabad","191/1","Sunrisers Hyderabad","9 wickets (with 7 balls remaining)"
"May 11, 2018","43rd match","Sawai Mansingh Stadium, Jaipur","night","Chennai Super Kings","bat","Chennai Super Kings","176/4","Rajasthan Royals","177/6","Rajasthan Royals","4 wickets (with 1 ball remaining)"
"May 12, 2018","44th match","Holkar Cricket Stadium, Indore","day/night","Kings XI Punjab","field","Kolkata Knight Riders","245/6","Kings XI Punjab","214/8","Kolkata Knight Riders","31 runs"
"May 12, 2018","45th match","Feroz Shah Kotla, Delhi","night","Royal Challengers Bangalore","field","Delhi Daredevils","181/4","RCB","187/5","Royal Challengers Bangalore","5 wickets (with 6 balls remaining)"
"May 13, 2018","46th match","Maharashtra Cricket Association Stadium, Pune","day/night","Chennai Super Kings","field","Sunrisers Hyderabad","179/4","Chennai Super Kings","180/2","Chennai Super Kings","8 wickets (with 6 balls remaining)"
"May 13, 2018","47th match","Wankhede Stadium, Mumbai","night","Rajasthan Royals","field","Mumbai Indians","168/6","Rajasthan Royals","171/3","Rajasthan Royals","7 wickets (with 12 balls remaining)"
"May 14, 2018","48th match","Holkar Cricket Stadium, Indore","night","Royal Challengers Bangalore","field","Kings XI Punjab","88","RCB","92/0","Royal Challengers Bangalore","10 wickets (with 71 balls remaining)"
"May 15, 2018","49th match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","field","Rajasthan Royals","142","Kolkata Knight Riders","145/4","Kolkata Knight Riders","6 wickets (with 12 balls remaining)"
"May 16, 2018","50th match","Wankhede Stadium, Mumbai","night","Kings XI Punjab","field","Mumbai Indians","186/8","Kings XI Punjab","183/5","Mumbai Indians","3 runs"
"May 17, 2018","51st match","M Chinnaswamy Stadium, Bengaluru","night","Sunrisers Hyderabad","field","RCB","218/6","Sunrisers Hyderabad","204/3","Royal Challengers Bangalore","14 runs"
"May 18, 2018","52nd match","Feroz Shah Kotla, Delhi","night","Chennai Super Kings","field","Delhi Daredevils","162/5","Chennai Super Kings","128/6","Delhi Daredevils","34 runs"
"May 19, 2018","53rd match","Sawai Mansingh Stadium, Jaipur","day/night","Rajasthan Royals","bat","Rajasthan Royals","164/5","RCB","134","Rajasthan Royals","30 runs"
"May 19, 2018","54th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","172/9","Kolkata Knight Riders","173/5","Kolkata Knight Riders","5 wickets (with 2 balls remaining)"
"May 20, 2018","55th match","Feroz Shah Kotla, Delhi","day/night","Delhi Daredevils","bat","Delhi Daredevils","174/4","Mumbai Indians","163","Delhi Daredevils","11 runs"
"May 20, 2018","56th match","Maharashtra Cricket Association Stadium, Pune","night","Chennai Super Kings","field","Kings XI Punjab","153","Chennai Super Kings","159/5","Chennai Super Kings","5 wickets (with 5 balls remaining)"
"May 22, 2018","Qualifier 1","Wankhede Stadium, Mumbai","night","Chennai Super Kings","field","Sunrisers Hyderabad","139/7","Chennai Super Kings","140/8","Chennai Super Kings","2 wickets (with 5 balls remaining)"
"May 23, 2018","Eliminator","Eden Gardens, Kolkata","night","Rajasthan Royals","field","Kolkata Knight Riders","169/7","Rajasthan Royals","144/4","Kolkata Knight Riders","25 runs"
"May 25, 2018","Qualifier 2","Eden Gardens, Kolkata","night","Kolkata Knight Riders","field","Sunrisers Hyderabad","174/7","Kolkata Knight Riders","160/9","Sunrisers Hyderabad","14 runs"
"May 27, 2018","Final","Wankhede Stadium, Mumbai","night","Chennai Super Kings","field","Sunrisers Hyderabad","178/6","Chennai Super Kings","181/2","Chennai Super Kings","8 wickets (with 9 balls remaining)"
