"Match_date","Match_number","Match_venue","Match_time","Toss_winner","Toss_decision","Team1","Team1_score","Team2","Team2_score","Winning_team","Winning_margin"
"Apr 18, 2013","24th match","Feroz Shah Kotla, Delhi","night","Chennai Super Kings","bat","Chennai Super Kings","169/4","Delhi Daredevils","83","Chennai Super Kings","86 runs"
"Apr 19, 2013","25th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Kings XI Punjab","bat","Kings XI Punjab","123/9","Sunrisers Hyderabad","127/5","Sunrisers Hyderabad","5 wickets (with 7 balls remaining)"
"Apr 20, 2013","26th match","Eden Gardens, Kolkata","day/night","Kolkata Knight Riders","bat","Kolkata Knight Riders","119/9","Chennai Super Kings","124/6","Chennai Super Kings","4 wickets (with 5 balls remaining)"
"Apr 20, 2013","27th match","M Chinnaswamy Stadium, Bangalore","night","Royal Challengers Bangalore","field","Rajasthan Royals","117","RCB","123/3","Royal Challengers Bangalore","7 wickets (with 13 balls remaining)"
"Apr 21, 2013","28th match","Feroz Shah Kotla, Delhi","day/night","Mumbai Indians","bat","Mumbai Indians","161/4","Delhi Daredevils","165/1","Delhi Daredevils","9 wickets (with 18 balls remaining)"
"Apr 21, 2013","29th match","Punjab Cricket Association Stadium, Mohali, Chandigarh","night","Kings XI Punjab","field","Pune Warriors","185/4","Kings XI Punjab","186/3","Kings XI Punjab","7 wickets (with 1 ball remaining)"
"Apr 22, 2013","30th match","MA Chidambaram Stadium, Chepauk, Chennai","night","Rajasthan Royals","bat","Rajasthan Royals","185/4","Chennai Super Kings","186/5","Chennai Super Kings","5 wickets (with 1 ball remaining)"
"Apr 23, 2013","31st match","M Chinnaswamy Stadium, Bangalore","day/night","Pune Warriors","field","RCB","263/5","Pune Warriors","133/9","Royal Challengers Bangalore","130 runs"
"Apr 23, 2013","32nd match","Feroz Shah Kotla, Delhi","night","Kings XI Punjab","field","Delhi Daredevils","120/7","Kings XI Punjab","121/5","Kings XI Punjab","5 wickets (with 18 balls remaining)"
"Apr 24, 2013","33rd match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","bat","Kolkata Knight Riders","159/6","Mumbai Indians","162/5","Mumbai Indians","5 wickets (with 1 ball remaining)"
"Apr 25, 2013","34th match","MA Chidambaram Stadium, Chepauk, Chennai","night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","159/6","Chennai Super Kings","160/5","Chennai Super Kings","5 wickets (with 2 balls remaining)"
"Apr 26, 2013","35th match","Eden Gardens, Kolkata","night","Kings XI Punjab","bat","Kings XI Punjab","149/6","Kolkata Knight Riders","150/4","Kolkata Knight Riders","6 wickets (with 10 balls remaining)"
"Apr 27, 2013","36th match","Sawai Mansingh Stadium, Jaipur","day/night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","144/9","Rajasthan Royals","146/2","Rajasthan Royals","8 wickets (with 13 balls remaining)"
"Apr 27, 2013","37th match","Wankhede Stadium, Mumbai","night","Mumbai Indians","bat","Mumbai Indians","194/7","RCB","136/7","Mumbai Indians","58 runs"
"Apr 28, 2013","38th match","MA Chidambaram Stadium, Chepauk, Chennai","day/night","Kolkata Knight Riders","field","Chennai Super Kings","200/3","Kolkata Knight Riders","186/4","Chennai Super Kings","14 runs"
"Apr 28, 2013","39th match","Shaheed Veer Narayan Singh International Stadium, Raipur","night","Pune Warriors","field","Delhi Daredevils","164/5","Pune Warriors","149/4","Delhi Daredevils","15 runs"
